	5-MEF-Mock_S5_L001_R1_001	5-MEF-Mock_S5_L002_R1_001	6-MEF-10uM_S6_L001_R1_001	6-MEF-10uM_S6_L002_R1_001	7-MEF-5uM_S7_L001_R1_001	7-MEF-5uM_S7_L002_R1_001	8-MEF-UIFN_S8_L001_R1_001	8-MEF-UIFN_S8_L002_R1_001
0610007P14Rik	1001.02961	861.02288	1089.02185	1016.99995	954.17872	868.00057	1241.085579	1167.02468
0610009B22Rik	295.99965	290.9999	231.99951	220.0002	302	280.00002	365.0001	333.0002
0610009L18Rik	7	10	12	12	16	8	15	12
0610009O20Rik	1218	1172	1641	1526	1259	1174	1498	1442
0610010F05Rik	553.0001107987	510.999979134	956.999950214497	914.000050280317	660.00065	655.00006	767.0003591458	732.999614986907
0610010K14Rik	667.67983032438	613.690742011431	738.641040022265	696.9773006974	593.0981897952	558.29475003	782.508270025996	774.334957780498
0610011F06Rik	553.1941	509.8591	429.1282	432.7234	516.6106	475.8015	633.5801	635.1733
0610012G03Rik	511	474	691.593	682.888	551	522.845	680.997	564.449
0610030E20Rik	444.933066	443.90104	805.96564	786.2206	497.44608	461.2668	579.0836	567.9208922
0610037L13Rik	517.999979	519	536.00046	612.00056	536.00008838	483.0005	638.999912	611.0004
0610040J01Rik	11.1951	12	9	9.17199	8	6	12	7.11665
1110001J03Rik	193.00017	154.99951	233.00011	223.0005	195	195.00046	246.99966	204.00002
1110002E22Rik	3	5	9	11.999962	4	3	3	6
1110004E09Rik	422.0003	449.00026	885	845.00043	517.9996	510.9998954	572.99959	540.00047
1110004F10Rik	1651.99793	1593.00042	1964.0019	1785.00135	1681.28203	1562.29178	2164.00484	1987.99878
1110008F13Rik	1201.09254	1178.67312	1949.31004	1887.83991	1423.54155	1338.72299	1553.1682	1473.65782
1110008L16Rik	191.6121	188.6179	249.028900011783	233.10918	186.5139395063	194.20784	184.15709	201.35125
1110008P14Rik	376.0331	402.0316	460.1966	430.5896	441.7127	385.7477	519.4375	541.0194
1110012L19Rik	263	266	312	258	281	238	369	315
1110017D15Rik	2.000004	1	0	1	0	1	0	3
1110025L11Rik	0	0	0	0	0	0	0	0
1110032A03Rik	234.74169	175.04851	155.79613	163.54579	196.48442	199.64385	272.60402	270.42348
1110032F04Rik	0	1	0	0	0	0	0	0
1110034G24Rik	56.99997	43.00135	57.0058	68.00127	51.00002	43.00069	67.00252	61
1110037F02Rik	2491.0022	2458.001	2692.002	2438.9999	2390.0021	2243.996	3336.001	3117.004
1110038F14Rik	586	543	606	571	577	538	765	747
1110051M20Rik	639.95631	539.334783	723.23955	712.281357	607.812292	546.69124241294	735.076102	754.13571
1110057P08Rik	0	0	0	0	0	0	0	0
1110059E24Rik	714.00047	661.000464	888	932.00048	813.00037	679.99964	886.0003	900.00041
1110059G10Rik	225	208.0001	203.045	200.0004	203.9998	216	286	313
1110065P20Rik	441.4905	392.9593246733	460.80352	440.8277094	464.25137494317	456.3192	535.59045	510.36675
1190002N15Rik	1003	1040	745	698	978	891	1409	1241
1190003K10Rik	0	0	0	0	0	0	0	0
1190005I06Rik	94.2466	87	56.22262	61.88423	85.65824	85.1092	125.6863	112.1492
1190007I07Rik	71.00001	75	127.00006	123.00001	90.99999	90.00006	117.00006	107.1998
